,location,bhk,total_sqft,bath,price,encoded_loc
4050,Bommanahalli,2,1050.0,2.0,46.0,47
4051,Kanakpura Road,2,1309.0,2.0,64.39,127
4052,Dodda Nekkundi,2,1128.0,2.0,45.0,67
4053,Raja Rajeshwari Nagar,3,1430.0,2.0,50.0,184
4054,Old Madras Road,2,1065.0,2.0,47.86,177
4055,OMBR Layout,2,1085.0,2.0,64.0,175
4056,Vishveshwarya Layout,1,750.0,1.0,30.0,221
4057,Bellandur,2,981.0,2.0,37.28,40
4058,Kalyan nagar,3,1410.0,2.0,60.0,122
4059,Hosa Road,3,1525.84,3.0,117.0,101
4060,Begur Road,2,1200.0,2.0,42.6,39
4061,others,2,1030.0,2.0,80.0,230
4062,others,3,1852.0,2.0,95.0,230
4063,Jigani,2,918.0,2.0,49.0,113
4064,JP Nagar,3,1150.0,2.0,49.9,109
4065,others,2,1150.0,2.0,69.0,230
4066,Whitefield,2,1227.0,2.0,53.49,224
4067,Panathur,2,1198.0,2.0,82.0,180
4068,others,4,2600.0,3.0,95.0,230
4069,others,2,797.0,2.0,32.0,230
4070,others,3,1350.0,2.0,68.0,230
4071,Sahakara Nagar,4,2500.0,4.0,200.0,190
4072,Thigalarapalya,3,2215.0,4.0,160.0,210
4073,others,3,1500.0,2.0,90.0,230
4074,others,2,900.0,2.0,55.0,230
4075,others,3,1355.0,2.0,58.27,230
4076,Kudlu Gate,3,1465.0,2.0,49.81,148
4077,Ramamurthy Nagar,2,1006.0,2.0,57.0,188
4078,Vishveshwarya Layout,4,2000.0,4.0,75.0,221
4079,Electronic City,2,1128.0,2.0,65.7,74
4080,others,2,850.0,2.0,35.0,230
4081,ISRO Layout,3,1310.0,2.0,68.0,106
4082,Banashankari,2,1390.0,2.0,86.0,26
4083,Kathriguppe,3,1390.0,2.0,76.45,132
4084,Gottigere,3,1385.0,2.0,50.0,82
4085,Old Madras Road,2,1160.0,2.0,42.0,177
4086,Bannerghatta Road,3,1200.0,2.0,69.0,34
4087,Mahadevpura,2,1475.0,2.0,55.0,156
4088,Sarjapur  Road,3,1939.0,3.0,98.0,194
4089,7th Phase JP Nagar,2,850.0,2.0,42.0,6
4090,Balagere,1,675.0,1.0,45.0,25
4091,Electronic City,2,1060.0,2.0,51.0,74
4092,Whitefield,2,1235.0,2.0,47.0,224
4093,others,2,1250.0,2.0,60.0,230
4094,Banashankari,2,1460.0,2.0,70.0,26
4095,Indira Nagar,1,850.0,1.0,57.0,108
4096,Kanakpura Road,3,1843.0,3.0,82.0,127
4097,7th Phase JP Nagar,3,1680.0,3.0,117.0,6
4098,Kundalahalli,2,1047.0,2.0,84.0,150
4099,8th Phase JP Nagar,2,1100.0,2.0,35.0,7
4100,Nagarbhavi,2,1120.0,2.0,53.0,169
4101,others,2,970.0,2.0,35.0,230
4102,Hosa Road,3,1100.0,2.0,85.0,101
4103,Uttarahalli,3,1685.0,3.0,85.0,216
4104,others,2,1148.0,2.0,59.0,230
4105,Marathahalli,2,1050.0,2.0,65.0,161
4106,Bannerghatta Road,3,1465.0,2.0,76.0,34
4107,Kothanur,4,3401.0,5.0,230.0,146
4108,others,3,1350.0,3.0,60.0,230
4109,Banashankari Stage III,2,1200.0,2.0,42.0,28
4110,others,2,1100.0,2.0,78.0,230
4111,Kaggadasapura,2,1140.0,2.0,46.0,118
4112,Hormavu,3,1617.5,3.0,73.595,100
4113,Gottigere,2,1410.0,2.0,45.0,82
4114,Mahadevpura,3,1434.0,2.0,67.39,156
4115,others,2,1180.0,2.0,74.0,230
4116,EPIP Zone,2,1343.0,2.0,86.0,73
4117,LB Shastri Nagar,2,1184.0,2.0,69.0,151
4118,others,3,4510.0,4.0,200.0,230
4119,Sarjapur  Road,4,3785.0,5.0,280.0,194
4120,others,3,1540.0,3.0,85.0,230
4121,Kanakpura Road,3,1550.0,3.0,65.11,127
4122,Yelahanka,3,1345.0,2.0,57.0,226
4123,Electronic City Phase II,3,975.0,2.0,45.0,75
4124,JP Nagar,2,1152.0,2.0,34.56,109
4125,others,3,1033.0,2.0,31.5,230
4126,Subramanyapura,3,1223.0,2.0,42.81,205
4127,Kadugodi,3,1762.0,3.0,112.0,117
4128,KR Puram,6,2000.0,6.0,85.0,115
4129,Thanisandra,3,1853.0,3.0,64.86,209
4130,Kothanur,2,1455.0,2.0,69.0,146
4131,Sarjapur  Road,3,2556.0,3.0,169.0,194
4132,TC Palaya,3,1200.0,2.0,66.5,207
4133,others,2,1200.0,2.0,37.0,230
4134,Whitefield,3,1870.0,3.0,138.0,224
4135,Panathur,2,1199.0,2.0,86.0,180
4136,Doddakallasandra,3,1360.0,2.0,54.4,69
4137,Babusapalaya,3,1230.0,3.0,53.0,24
4138,others,3,2000.0,3.0,120.0,230
4139,Kundalahalli,2,1047.0,2.0,83.0,150
4140,Electronic City Phase II,4,6000.0,4.0,260.0,75
4141,Ramamurthy Nagar,2,1200.0,2.0,76.0,188
4142,Kengeri Satellite Town,2,1302.5,2.0,44.285,136
4143,Kengeri,2,725.0,2.0,30.0,135
4144,Jakkur,3,1645.0,3.0,100.0,110
4145,Sultan Palaya,2,870.0,2.0,65.0,206
4146,Marathahalli,2,1026.0,2.0,49.95,161
4147,others,3,2000.0,3.0,145.0,230
4148,Hosur Road,3,1766.0,3.0,130.0,104
4149,others,1,500.0,1.0,15.0,230
4150,Jigani,3,1221.0,3.0,52.0,113
4151,Rachenahalli,1,680.0,1.0,46.0,183
4152,Sarjapur  Road,2,1278.0,2.0,90.0,194
4153,Kodichikkanahalli,2,1025.0,2.0,66.0,138
4154,Whitefield,2,1175.0,2.0,39.0,224
4155,others,2,850.0,2.0,42.0,230
4156,Anjanapura,2,710.0,2.0,25.0,18
4157,Sarjapur,1,625.0,1.0,19.0,193
4158,Kaggadasapura,3,1340.0,3.0,66.0,118
4159,Ananth Nagar,2,937.0,2.0,35.0,16
4160,JP Nagar,1,750.0,1.0,52.5,109
4161,Shampura,3,1475.0,3.0,78.0,199
4162,others,4,2230.0,4.0,130.0,230
4163,others,4,2200.0,5.0,100.0,230
4164,Mysore Road,2,900.0,2.0,65.0,166
4165,Electronic City Phase II,2,1116.0,2.0,37.0,75
4166,Hoodi,2,948.0,2.0,75.0,97
4167,R.T. Nagar,2,970.0,2.0,55.0,182
4168,others,3,1519.0,3.0,67.23,230
4169,Thanisandra,3,1200.0,2.0,65.0,209
4170,Bhoganhalli,3,1760.0,3.0,127.0,43
4171,Budigere,3,1820.0,3.0,85.5,52
4172,Kalena Agrahara,3,1565.0,3.0,78.0,121
4173,Begur Road,2,1334.0,2.0,42.69,39
4174,Sarakki Nagar,2,924.0,2.0,76.23,192
4175,Jigani,2,914.0,2.0,49.0,113
4176,Kengeri,1,500.0,1.0,17.0,135
4177,Yelahanka,3,2145.0,3.0,125.0,226
4178,Electronic City,3,1650.0,3.0,100.0,74
4179,Marathahalli,4,3940.0,4.0,220.0,161
4180,Basaveshwara Nagar,2,1180.0,2.0,58.0,36
4181,Bommasandra,2,1014.0,2.0,35.0,48
4182,Attibele,2,695.0,1.0,25.0,21
4183,GM Palaya,2,1140.0,2.0,48.95,78
4184,Begur Road,4,2400.0,4.0,152.0,39
4185,Attibele,2,850.0,1.0,25.0,21
4186,Banashankari,2,1200.0,2.0,60.0,26
4187,others,4,3160.0,4.0,206.0,230
4188,Hoodi,3,1769.0,3.0,96.87,97
4189,Mallasandra,2,905.0,2.0,40.0,158
4190,Kothanur,1,627.0,1.0,30.0,146
4191,Marathahalli,3,1435.0,3.0,73.0,161
4192,Kodihalli,3,1620.0,3.0,130.0,141
4193,Whitefield,3,1862.0,3.0,125.0,224
4194,Kaikondrahalli,2,674.0,1.0,19.9,120
4195,Marathahalli,2,1220.0,2.0,59.0,161
4196,Electronic City,2,1025.0,2.0,49.0,74
4197,Thanisandra,3,1430.0,2.0,54.5,209
4198,Panathur,2,1235.0,2.0,65.0,180
4199,Kanakpura Road,3,1498.0,3.0,95.0,127
4200,Electronic City,2,1000.0,2.0,29.7,74
4201,others,2,922.0,2.0,70.0,230
4202,AECS Layout,2,1123.0,2.0,64.0,9
4203,Raja Rajeshwari Nagar,2,1235.0,2.0,75.0,184
4204,Kogilu,2,1250.0,2.0,55.55,142
4205,Sarjapur  Road,2,1305.0,2.0,99.0,194
4206,others,2,1200.0,1.0,65.0,230
4207,Hebbal,4,2790.0,5.0,204.0,92
4208,Old Madras Road,4,2010.0,3.0,125.0,177
4209,Electronics City Phase 1,2,995.0,2.0,42.0,76
4210,Varthur Road,2,1277.0,2.0,59.0,218
4211,7th Phase JP Nagar,2,1236.0,2.0,61.33,6
4212,Akshaya Nagar,2,1265.0,2.0,67.0,11
4213,Kanakpura Road,1,525.0,2.0,27.0,127
4214,Gubbalala,5,2570.0,4.0,141.0,84
4215,others,3,1442.0,3.0,56.24,230
4216,Ardendale,2,1224.0,2.0,70.0,19
4217,Bellandur,2,1205.0,2.0,59.0,40
4218,others,2,1233.0,2.0,100.0,230
4219,5th Block Hbr Layout,2,1312.0,2.0,69.0,3
4220,Electronic City,3,1449.0,3.0,90.0,74
4221,Yelenahalli,2,1090.0,2.0,54.0,228
4222,Kaggadasapura,5,2100.0,5.0,150.0,118
4223,JP Nagar,2,1200.0,2.0,78.0,109
4224,BTM 2nd Stage,2,1000.0,2.0,58.0,22
4225,Devanahalli,4,2400.0,5.0,190.0,65
4226,Thanisandra,3,1732.0,3.0,85.73,209
4227,Banashankari,2,1290.0,2.0,80.0,26
4228,others,3,1840.0,3.0,85.0,230
4229,Thanisandra,3,1917.0,4.0,100.0,209
4230,others,2,1100.0,2.0,57.0,230
4231,Kudlu,3,1455.0,2.0,60.0,147
4232,Devarachikkanahalli,3,1425.0,2.0,65.0,66
4233,Whitefield,3,1655.0,3.0,113.0,224
4234,Haralur Road,4,2805.0,5.0,160.0,90
4235,others,2,1040.0,2.0,46.79,230
4236,Akshaya Nagar,2,1126.0,2.0,55.0,11
4237,Hebbal,2,1250.0,2.0,55.55,92
4238,others,2,1200.0,2.0,53.0,230
4239,others,4,2050.0,3.0,100.0,230
4240,Whitefield,1,530.0,1.0,29.44,224
4241,Sarjapur,4,2585.5,4.0,139.5,193
4242,Kambipura,2,883.0,2.0,37.0,123
4243,Sompura,3,1275.0,3.0,59.0,203
4244,others,2,800.0,2.0,30.0,230
4245,Devanahalli,1,1200.0,1.0,95.0,65
4246,Bellandur,2,1063.0,2.0,58.0,40
4247,Balagere,1,656.0,1.0,43.0,25
4248,others,2,1125.0,2.0,36.0,230
4249,Marathahalli,2,881.0,2.0,48.06,161
4250,Bisuvanahalli,2,700.0,1.0,32.0,46
4251,others,3,1936.0,3.0,110.0,230
4252,Hosa Road,3,1680.0,3.0,101.0,101
4253,Rayasandra,2,1253.0,2.0,57.0,189
4254,Mysore Road,3,1082.0,3.0,50.0,166
4255,Iblur Village,3,2100.0,4.0,145.0,107
4256,Electronic City,2,1070.0,2.0,58.0,74
4257,Raja Rajeshwari Nagar,3,1280.0,3.0,57.6,184
4258,Sarjapur  Road,3,1755.0,3.0,122.0,194
4259,Electronic City,2,1210.0,2.0,54.0,74
4260,Talaghattapura,2,951.0,2.0,30.43,208
4261,Electronic City,3,1500.0,2.0,75.0,74
4262,others,3,1652.5,3.0,90.0,230
4263,Yeshwanthpur,3,1381.0,2.0,76.18,229
4264,Whitefield,2,1085.0,2.0,57.0,224
4265,Whitefield,1,905.0,1.0,50.0,224
4266,Hennur Road,3,1685.0,3.0,95.0,96
4267,Somasundara Palya,2,1200.0,2.0,75.0,202
4268,Anandapura,2,1151.0,2.0,42.9,15
4269,Brookefield,4,3532.0,3.0,170.0,51
4270,Kanakpura Road,3,1665.0,3.0,86.91,127
4271,Kengeri Satellite Town,2,800.0,2.0,40.0,136
4272,Rajiv Nagar,2,1030.0,2.0,46.5,186
4273,Hoodi,2,1257.0,2.0,71.03,97
4274,Whitefield,3,1600.0,3.0,82.0,224
4275,Choodasandra,3,1465.0,3.0,75.0,60
4276,Jakkur,3,1650.0,3.0,111.0,110
4277,Whitefield,4,1230.0,4.0,80.0,224
4278,Koramangala,2,1300.0,2.0,82.0,144
4279,KR Puram,2,1000.0,2.0,44.5,115
4280,Mahadevpura,2,1146.0,2.0,53.8,156
4281,others,3,2159.0,3.0,110.0,230
4282,Whitefield,2,1255.0,2.0,40.0,224
4283,Padmanabhanagar,2,1200.0,2.0,60.0,178
4284,Sarjapur  Road,2,1040.0,2.0,37.0,194
4285,Uttarahalli,2,1180.0,2.0,41.3,216
4286,KR Puram,2,1200.0,2.0,47.0,115
4287,Sarjapur  Road,3,1374.0,3.0,51.0,194
4288,Whitefield,1,630.5,1.0,32.15,224
4289,Jalahalli,3,2384.0,4.0,165.0,111
4290,Yelahanka,2,1200.0,2.0,54.0,226
4291,Haralur Road,3,2017.0,3.0,105.0,90
4292,others,2,700.0,2.0,43.0,230
4293,Kanakpura Road,3,1495.0,2.0,52.33,127
4294,Kothanur,2,1302.0,2.0,68.5,146
4295,Whitefield,1,905.0,1.0,52.0,224
4296,Electronics City Phase 1,3,1350.0,3.0,71.0,76
4297,Gottigere,3,1380.0,2.0,95.0,82
4298,Harlur,3,1620.0,3.0,110.0,91
4299,Chandapura,4,4800.0,4.0,250.0,55
4300,Sarjapur  Road,2,1000.0,2.0,38.5,194
4301,Thanisandra,2,1250.0,1.0,54.0,209
4302,Anekal,3,997.0,3.0,55.0,17
4303,Kothanur,3,1760.0,3.0,111.0,146
4304,Yelahanka,2,1322.0,2.0,75.0,226
4305,others,3,1365.0,3.0,99.0,230
4306,Kaggadasapura,3,1256.0,2.0,50.0,118
4307,Brookefield,2,941.0,2.0,48.0,51
4308,Hennur Road,2,1414.0,2.0,84.18,96
4309,Chikkalasandra,3,1270.0,2.0,55.25,59
4310,Kengeri Satellite Town,4,4100.0,3.0,300.0,136
4311,others,6,1800.0,3.0,105.0,230
4312,Kanakpura Road,1,712.0,1.0,38.44,127
4313,Hebbal,2,1200.0,2.0,49.0,92
4314,Kengeri Satellite Town,1,654.0,1.0,22.0,136
4315,others,2,708.0,1.0,55.0,230
4316,others,3,1680.0,3.0,135.0,230
4317,others,2,990.0,2.0,58.0,230
4318,Uttarahalli,2,1380.0,2.0,42.0,216
4319,Hebbal,2,1088.0,2.0,62.0,92
4320,Harlur,3,1414.0,3.0,77.5,91
4321,others,2,1240.0,2.0,100.0,230
4322,others,3,1810.0,3.0,118.0,230
4323,Kothanur,2,1185.0,2.0,58.0,146
4324,Whitefield,3,1200.0,3.0,57.15,224
4325,others,2,1265.0,2.0,58.0,230
4326,Sahakara Nagar,2,1100.0,2.0,55.0,190
4327,others,2,1035.0,2.0,44.0,230
4328,Sonnenahalli,1,614.5,1.0,30.715,204
4329,Hegde Nagar,2,1179.0,2.0,49.35,94
4330,Vittasandra,3,1650.0,3.0,84.0,223
4331,others,6,2800.0,4.0,100.0,230
4332,others,3,1430.0,3.0,78.65,230
4333,Marathahalli,3,1130.0,2.0,58.0,161
4334,JP Nagar,3,1850.0,2.0,110.0,109
4335,Hennur,3,1340.0,3.0,54.24,95
4336,Sarjapur  Road,4,4334.0,2.0,338.0,194
4337,others,2,600.0,2.0,30.0,230
4338,Channasandra,2,1160.0,2.0,55.0,56
4339,others,1,1200.0,2.0,45.0,230
4340,others,2,1116.0,2.0,37.6,230
4341,others,2,1090.0,2.0,45.0,230
4342,JP Nagar,2,1100.0,2.0,45.0,109
4343,Vijayanagar,3,1484.0,3.0,79.19,220
4344,Green Glen Layout,3,1630.0,3.0,68.0,83
4345,Whitefield,3,1451.0,2.0,52.43,224
4346,Kanakpura Road,2,1330.0,2.0,107.0,127
4347,Thanisandra,3,2127.0,3.0,135.0,209
4348,others,4,1260.0,4.0,65.0,230
4349,Sarjapur  Road,3,1173.0,2.0,45.75,194
4350,Electronics City Phase 1,3,1445.0,2.0,56.0,76
4351,Thanisandra,3,2336.5,3.0,115.89,209
4352,JP Nagar,2,1197.0,2.0,47.88,109
4353,Kanakpura Road,3,1450.0,3.0,62.4,127
4354,Whitefield,2,1187.0,2.0,37.85,224
4355,Channasandra,2,1050.0,2.0,41.0,56
4356,Panathur,3,1370.0,2.0,54.8,180
4357,Yelahanka,2,1036.0,2.0,39.37,226
4358,JP Nagar,3,1275.0,3.0,41.2,109
4359,Old Madras Road,4,2010.0,3.0,115.0,177
4360,Thanisandra,2,1265.0,2.0,46.6,209
4361,Anandapura,3,1576.0,3.0,58.0,15
4362,Dodda Nekkundi,2,1148.0,2.0,56.0,67
4363,others,2,1000.0,2.0,36.0,230
4364,Kudlu,3,1293.0,2.0,85.0,147
4365,Munnekollal,2,1210.0,2.0,75.0,164
4366,HSR Layout,2,1126.0,2.0,69.0,89
4367,Vidyaranyapura,3,1440.0,2.0,70.0,219
4368,Ramamurthy Nagar,3,1300.0,2.0,52.0,188
4369,Thanisandra,2,1276.0,2.0,75.0,209
4370,Whitefield,2,1216.0,2.0,83.0,224
4371,Sompura,2,1126.0,2.0,39.0,203
4372,Raja Rajeshwari Nagar,2,1162.0,2.0,65.0,184
4373,Whitefield,2,1301.0,2.0,65.0,224
4374,Devanahalli,1,658.0,1.0,34.0,65
4375,1st Phase JP Nagar,1,1576.0,1.0,63.0,1
4376,Chandapura,3,1208.51,3.0,42.0,55
4377,Raja Rajeshwari Nagar,2,1133.0,2.0,38.41,184
4378,others,3,1760.0,2.0,116.0,230
4379,others,2,1145.0,2.0,57.0,230
4380,Bannerghatta Road,2,1302.5,2.0,67.73,34
4381,others,4,3317.5,5.0,268.5,230
4382,Dasarahalli,2,1300.0,2.0,50.0,64
4383,Jigani,4,2420.0,4.0,190.0,113
4384,Thubarahalli,2,1216.0,2.0,80.0,211
4385,Tumkur Road,3,1459.0,2.0,110.0,214
4386,Jakkur,3,1622.0,2.0,80.0,110
4387,Kanakpura Road,3,1843.0,3.0,85.0,127
4388,Malleshpalya,3,1430.0,2.0,69.5,159
4389,Begur Road,3,1565.0,2.0,57.91,39
4390,others,2,1410.0,2.0,75.0,230
4391,Kengeri Satellite Town,2,1060.0,2.0,42.0,136
4392,Sarjapur  Road,2,1120.0,2.0,50.0,194
4393,Hosa Road,2,880.0,2.0,50.0,101
4394,Dodda Nekkundi,3,1435.0,3.0,57.2,67
4395,Doddakallasandra,3,1425.0,2.0,56.99,69
4396,Arekere,2,900.0,2.0,50.0,20
4397,others,5,2400.0,5.0,93.0,230
4398,Electronic City,4,2435.0,4.0,119.0,74
4399,Iblur Village,3,1920.0,3.0,150.0,107
4400,Nagavarapalya,1,705.0,1.0,55.0,172
4401,others,3,1200.0,2.0,75.6,230
4402,Mahadevpura,2,1532.0,2.0,62.0,156
4403,Rajiv Nagar,2,1330.0,2.0,93.0,186
4404,Sarjapur  Road,3,1530.0,2.0,60.0,194
4405,Kasavanhalli,2,1105.0,2.0,42.0,130
4406,Harlur,3,1630.0,3.0,95.1,91
4407,Brookefield,3,1595.0,2.0,75.0,51
4408,7th Phase JP Nagar,2,1000.0,2.0,53.0,6
4409,Uttarahalli,3,1737.0,2.0,95.0,216
4410,others,4,2100.0,4.0,150.0,230
4411,Mysore Road,2,883.0,2.0,50.0,166
4412,BTM Layout,3,1776.0,2.0,75.0,23
4413,Whitefield,3,1330.0,2.0,55.0,224
4414,Thanisandra,4,2259.0,5.0,135.0,209
4415,Gubbalala,2,1008.0,2.0,32.25,84
4416,others,2,1200.0,2.0,52.5,230
4417,Yelahanka,2,1405.0,2.0,50.58,226
4418,Yelahanka,1,602.0,1.0,26.0,226
4419,JP Nagar,3,1500.0,2.0,82.0,109
4420,others,3,1539.0,3.0,60.0,230
4421,Judicial Layout,3,1100.0,2.0,53.0,114
4422,Raja Rajeshwari Nagar,2,1151.0,2.0,49.0,184
4423,others,2,920.0,2.0,46.0,230
4424,Kathriguppe,3,1350.0,3.0,78.3,132
4425,Bannerghatta Road,2,1200.0,2.0,65.0,34
4426,Thanisandra,2,1265.0,2.0,78.0,209
4427,Sarjapur  Road,3,1700.0,3.0,93.5,194
4428,others,4,1550.0,4.0,120.0,230
4429,R.T. Nagar,3,1560.0,3.0,125.0,182
4430,Sarjapur  Road,3,1403.0,3.0,56.0,194
4431,Tumkur Road,3,1416.0,3.0,94.0,214
4432,Kanakpura Road,2,1628.0,2.0,68.0,127
4433,7th Phase JP Nagar,3,1680.0,3.0,125.0,6
4434,Doddathoguru,3,1595.0,3.0,62.0,70
4435,Kanakpura Road,3,1507.0,2.0,95.0,127
4436,Hennur Road,3,1949.0,3.0,133.0,96
4437,others,2,905.0,2.0,50.0,230
4438,Kaikondrahalli,3,1605.0,3.0,105.0,120
4439,Bommanahalli,2,1290.0,2.0,73.0,47
4440,Yelahanka,2,1100.0,2.0,60.0,226
4441,Vishveshwarya Layout,6,2100.0,6.0,92.0,221
4442,Electronics City Phase 1,2,995.0,2.0,49.8,76
4443,Gottigere,3,1425.0,2.0,47.0,82
4444,others,3,1455.0,2.0,55.0,230
4445,others,1,550.0,1.0,23.0,230
4446,Vishveshwarya Layout,4,7000.0,4.0,210.0,221
4447,others,5,4000.0,3.0,130.0,230
4448,others,2,1060.0,2.0,53.0,230
4449,others,3,1080.0,2.0,75.0,230
4450,HBR Layout,3,1783.0,3.0,125.0,87
4451,Haralur Road,3,1520.0,2.0,90.0,90
4452,Sarjapur  Road,2,1060.0,2.0,55.0,194
4453,Raja Rajeshwari Nagar,2,1267.0,2.0,54.35,184
4454,Whitefield,2,1155.0,2.0,55.0,224
4455,Karuna Nagar,3,2500.0,3.0,180.0,129
4456,Bannerghatta Road,2,1240.0,2.0,65.0,34
4457,others,3,1570.0,3.0,78.0,230
4458,NGR Layout,2,1019.0,2.0,45.9,167
4459,Whitefield,2,1355.0,3.0,76.0,224
4460,others,3,1537.0,3.0,110.0,230
4461,Whitefield,4,4075.0,5.0,226.0,224
4462,Raja Rajeshwari Nagar,3,1550.0,3.0,52.45,184
4463,Raja Rajeshwari Nagar,2,1100.0,2.0,50.0,184
4464,9th Phase JP Nagar,2,1466.0,2.0,71.0,8
4465,Rachenahalli,3,1550.0,3.0,72.5,183
4466,Akshaya Nagar,3,2300.0,4.0,102.0,11
4467,Kengeri,1,540.0,1.0,22.5,135
4468,others,2,1020.0,2.0,48.0,230
4469,Hoodi,2,1305.0,2.0,75.0,97
4470,Sarjapur,4,2100.0,3.0,125.0,193
4471,Horamavu Banaswadi,2,1225.0,2.0,49.5,99
4472,Hennur,2,1255.0,2.0,55.5,95
4473,others,2,1191.0,2.0,90.0,230
4474,others,2,865.0,2.0,35.11,230
4475,Nagarbhavi,3,1850.0,2.0,88.0,169
4476,Yelahanka,3,1614.0,2.0,100.0,226
4477,Magadi Road,2,600.0,1.0,22.0,155
4478,Thigalarapalya,3,2072.0,4.0,155.0,210
4479,Electronic City,2,919.0,2.0,34.0,74
4480,others,4,2100.0,4.0,90.0,230
4481,others,2,1000.0,2.0,42.0,230
4482,Lingadheeranahalli,4,2245.0,4.0,154.0,154
4483,Ambedkar Nagar,3,1852.0,3.0,130.0,13
4484,others,2,1225.0,2.0,47.0,230
4485,Panathur,3,1597.0,3.0,67.12,180
4486,Jakkur,3,2423.0,4.0,160.0,110
4487,Marathahalli,2,1152.0,2.0,90.0,161
4488,Harlur,3,1762.0,3.0,133.0,91
4489,Kammasandra,3,1400.0,3.0,92.0,125
4490,Yelahanka,3,1890.0,3.0,108.0,226
4491,Varthur Road,3,1247.0,2.0,58.0,218
4492,Bellandur,2,1201.0,2.0,59.99,40
4493,others,2,830.0,2.0,40.0,230
4494,Bommanahalli,2,1100.0,1.0,55.0,47
4495,9th Phase JP Nagar,3,1890.0,2.0,93.0,8
4496,others,3,1685.0,3.0,60.0,230
4497,Battarahalli,2,1165.0,2.0,43.0,37
4498,others,2,827.0,2.0,45.0,230
4499,Electronics City Phase 1,1,635.0,1.0,26.0,76
4500,others,2,1050.0,2.0,50.0,230
4501,Yelenahalli,3,1500.0,2.0,57.0,228
4502,Raja Rajeshwari Nagar,3,1751.0,3.0,72.0,184
4503,Bommasandra,2,1020.0,2.0,40.89,48
4504,Thanisandra,2,1148.0,2.0,43.5,209
4505,others,2,1060.0,2.0,49.27,230
4506,Haralur Road,2,1300.0,2.0,60.0,90
4507,Hormavu,4,3000.0,4.0,100.0,100
4508,Bellandur,2,1325.0,2.0,65.0,40
4509,others,2,1261.0,2.0,61.0,230
4510,others,2,1100.0,2.0,46.0,230
4511,Ramamurthy Nagar,2,700.0,2.0,33.0,188
4512,7th Phase JP Nagar,3,1675.0,2.0,135.0,6
4513,others,4,3400.0,4.0,190.0,230
4514,others,2,1180.0,2.0,56.0,230
4515,Uttarahalli,2,1160.0,2.0,45.0,216
4516,Kasavanhalli,4,1863.0,3.0,105.0,130
4517,Sahakara Nagar,3,1914.0,3.0,149.0,190
4518,BTM Layout,3,1458.0,3.0,79.0,23
4519,Babusapalaya,2,1105.0,2.0,40.0,24
4520,Akshaya Nagar,3,1662.0,3.0,90.0,11
4521,Yelahanka,3,1556.0,3.0,86.0,226
4522,Jigani,2,918.0,2.0,50.0,113
4523,Sarjapur  Road,3,1455.0,2.0,98.0,194
4524,others,2,1205.0,2.0,70.0,230
4525,others,2,1194.0,2.0,65.0,230
4526,Laggere,2,1200.0,2.0,75.0,152
4527,Bannerghatta Road,3,1100.0,2.0,52.0,34
4528,Sarjapur  Road,3,1405.0,3.0,48.87,194
4529,Subramanyapura,2,929.0,2.0,56.0,205
4530,8th Phase JP Nagar,4,2100.0,4.0,92.0,7
4531,Channasandra,2,1065.0,2.0,40.47,56
4532,Bannerghatta Road,3,1532.5,3.0,84.29,34
4533,Hormavu,2,1093.0,2.0,32.78,100
4534,Anandapura,2,1250.0,2.0,45.0,15
4535,Marathahalli,3,1680.0,3.0,105.0,161
4536,Nagarbhavi,2,1146.0,2.0,50.0,169
4537,others,2,1250.0,2.0,58.0,230
4538,Ramagondanahalli,3,1451.0,3.0,60.44,187
4539,others,3,1424.0,2.0,55.0,230
4540,Gottigere,3,1435.0,2.0,62.0,82
4541,Devanahalli,1,658.0,1.0,26.91,65
4542,Bommanahalli,3,1300.0,3.0,45.0,47
4543,Whitefield,2,1242.0,2.0,65.0,224
4544,Marathahalli,3,1910.0,3.0,119.0,161
4545,Yelahanka,3,1610.0,4.0,85.0,226
4546,Hulimavu,2,1127.0,2.0,65.0,105
4547,Yelahanka,3,1075.0,2.0,42.0,226
4548,Mysore Road,2,1155.0,2.0,51.0,166
4549,others,3,1250.0,3.0,55.0,230
4550,others,3,2200.0,4.0,160.0,230
4551,Billekahalli,3,2400.0,3.0,150.0,44
4552,Chandapura,2,876.0,2.0,29.5,55
4553,Nagarbhavi,3,1850.0,2.0,89.0,169
4554,Kadugodi,2,1314.0,2.0,83.0,117
4555,Rachenahalli,1,690.0,1.0,39.8,183
4556,Electronic City Phase II,4,3550.0,2.0,167.5,75
4557,others,2,1230.0,2.0,55.0,230
4558,Bommasandra,2,920.0,2.0,37.2,48
4559,Sarjapur  Road,3,1850.0,3.0,140.0,194
4560,Electronic City,2,1073.0,2.0,60.0,74
4561,others,3,1540.0,3.0,76.0,230
4562,Kanakpura Road,3,1550.0,3.0,63.5,127
4563,Kalyan nagar,2,1198.0,2.0,65.0,122
4564,HBR Layout,3,1656.0,3.0,90.0,87
4565,others,3,1900.0,3.0,155.0,230
4566,Ramagondanahalli,3,1910.0,3.0,142.0,187
4567,Mysore Road,2,1003.0,2.0,43.0,166
4568,others,2,1576.0,2.0,48.0,230
4569,Whitefield,3,1495.0,2.0,67.0,224
4570,Thanisandra,3,2172.0,3.0,76.02,209
4571,others,2,1200.0,1.0,95.0,230
4572,Whitefield,3,1548.0,3.0,65.0,224
4573,Whitefield,4,2856.0,5.0,154.5,224
4574,Hosur Road,3,1689.0,3.0,103.0,104
